;Nama;Tanggal;X;Y;Lon;Lat;Sigma0_VH_db;Sigma0_VV_db;Class
1;pin_6350;101119;130.5;124.5;116.536.997;-8.379.157.137;-15.173.157;-79.246.793;Non Bawang Putih
2;pin_4466;101119;1.751.860.348;1.394.447.767;1.165.406.807;-8.369.242.621;-16.002.329;-907.425;Non Bawang Putih
5;pin_5427;101119;270.5;35.5;1.165.492.187;-8.370.901.491;-13.718.354;-4.511.617;Non Bawang Putih
7;pin_7046;101119;133.5;36.5;1.165.370.311;-8.371.351.164;-15.482.289;-9.094.109;Non Bawang Putih
9;pin_6173;101119;224.5;169.5;1.165.454.806;-8.382.896.737;-10.987.159;-0.36310938;Non Bawang Putih
11;pin_5674;101119;202.5;219.5;1.165.436.556;-8.387.385.419;-13.865.376;-38.878.102;Non Bawang Putih
13;pin_5895;101119;224.5;186.5;1.165.455.257;-8.384.403.136;-1.141.125;-37.938.113;Non Bawang Putih
15;pin_6342;101119;123.5;124.5;1.165.363.742;-8.379.175.593;-14.993.087;-855.254;Non Bawang Putih
16;pin_7893;101119;88.5;68.5;1.165.331.115;-8.374.305.384;-16.016.413;-1.058.512;Non Bawang Putih
20;pin_8376;101119;117.5;105.5;11.653.579;-8.377.507.731;-16.065.132;-622.735;Non Bawang Putih
22;pin_6734;101119;52.5;230.5;1.165.303.369;-8.388.756.086;-76.700.506;-0.79235494;Non Bawang Putih
26;pin_5811;101119;230.5;225.5;116.546.163;-8.387.843.141;-42.524.424;28.953.123;Non Bawang Putih
27;pin_7801;101119;136.5;31.5;1.165.372.848;-837.090.019;-18.056.128;-10.431.051;Non Bawang Putih
28;pin_5659;101119;206.5;213.5;1.165.439.956;-8.386.843.183;-13.672.177;-63.265.862;Non Bawang Putih
29;pin_6336;101119;119.5;34.5;1.165.357.801;-8.371.210.811;-15.857.178;-9.977.491;Non Bawang Putih
30;pin_5140;101119;1.971.860.232;5.694.447.569;1.165.427.521;-8.372.995.003;-1.474.506;-66.836.615;Non Bawang Putih
31;pin_8087;101119;102.5;81.5;1.165.343.917;-8.375.420.501;-14.849.559;-8.462.751;Non Bawang Putih
32;pin_5529;101119;199.5;227.5;1.165.434.098;-8.388.102.239;-51.051.626;0.4115608;Non Bawang Putih
36;pin_8344;101119;113.5;104.5;1.165.354.314;-8.377.429.659;-15.603.855;-9.927.284;Non Bawang Putih
38;pin_6720;101119;39.5;230.5;11.652.918;-8.388.790.379;-683.727;0.02088472;Non Bawang Putih
39;pin_7343;101119;160.5;182.5;1.165.398.202;-8.384.217.613;-9.009.381;-0.5818002;Non Bawang Putih
40;pin_4345;101119;1.891.860.269;2.394.447.659;1.165.419.529;-8.370.091.867;-155.834.675;-10.933.663;Non Bawang Putih
41;pin_5584;101119;213.5;221.5;1.165.446.397;-8.387.533.594;-8.436.828;-17.845.868;Non Bawang Putih
44;pin_4839;101119;1.991.860.217;4.594.447.566;1.165.429.009;-8.372.014.993;-1.663.231;-8.066.852;Non Bawang Putih
45;pin_6682;101119;58.5;228.5;1.165.308.655;-8.388.563.024;-9.267.723;-0.18924762;Non Bawang Putih
46;pin_8262;101119;114.5;101.5;1.165.355.124;-8.377.161.179;-15.129.362;-9.199.086;Non Bawang Putih
50;pin_7241;101119;149.5;180.5;1.165.388.361;-8.384.069.412;-1.256.531;-0.5085628;Non Bawang Putih
57;pin_6327;101119;134.5;123.5;1.165.373.503;-8.379.057.977;-14.278.789;-8.900.778;Non Bawang Putih
59;pin_7912;101119;121.5;32.5;1.165.359.528;-8.371.028.314;-15.232.808;-10.462.547;Non Bawang Putih
60;pin_4456;101119;189.186.027;2.694.447.656;1.165.419.608;-8.370.357.706;-1.542.488;-10.473.472;Non Bawang Putih
61;pin_7261;101119;142.5;181.5;1.165.382.158;-8.384.176.495;-14.324.067;-4.139.275;Non Bawang Putih
65;pin_5500;101119;215.5;227.5;1.165.448.336;-8.388.059.983;-71.467.457;11.516.253;Non Bawang Putih
66;pin_7688;101119;131.5;49.5;1.165.368.875;-8.372.508.421;-14.198.479;-72.267.704;Non Bawang Putih
71;pin_8248;101119;101.5;101.5;1.165.343.556;-8.377.195.441;-15.295.162;-8.926.274;Non Bawang Putih
72;pin_4220;101119;1.721.860.375;4.094.447.761;1.165.404.852;-8.371.643.084;-18.034.237;-8.326.571;Non Bawang Putih
73;pin_5510;101119;206.5;230.5;1.165.440.407;-8.388.349.589;-30.853.672;32.898.846;Non Bawang Putih
76;pin_7308;101119;159.5;182.5;1.165.397.312;-8.384.220.252;-8.902.509;15.294.774;Non Bawang Putih
78;pin_4641;101119;1.931.860.248;3.394.447.621;1.165.423.353;-8.370.967.455;-13.122.576;-9.109.878;Non Bawang Putih
79;pin_8027;101119;98.5;79.5;1.165.340.305;-837.525.381;-13.721.398;-7.561.331;Non Bawang Putih
80;pin_4453;101119;1.871.860.282;269.444.767;1.165.417.829;-8.370.362.976;-15.166.397;-10.288.365;Non Bawang Putih
81;pin_6371;101119;124.5;125.5;1.165.364.658;-8.379.261.571;-15.744.334;-8.608.127;Non Bawang Putih
83;pin_7185;101119;141.5;179.5;1.165.381.215;-8.384.001.906;-14.090.405;-41.800.694;Non Bawang Putih
86;pin_8178;101119;120.5;33.5;1.165.358.664;-8.371.119.563;-14.470.954;-986.334;Non Bawang Putih
87;pin_5178;101119;204.186.019;5.294.447.524;1.165.433.643;-8.372.622.101;-14.248.567;-5.560.516;Non Bawang Putih
88;pin_7633;101119;132.5;47.5;1.165.369.712;-8.372.328.557;-1.381.925;-7.674.018;Non Bawang Putih
89;pin_4533;101119;1.931.860.247;2.994.447.625;1.165.423.247;-8.370.613.004;-13.780.377;-7.671.748;Non Bawang Putih
90;pin_7593;101119;120.5;46.5;1.165.359.008;-8.372.271.555;-16.582.724;-9.784.963;Non Bawang Putih
91;pin_6894;101119;143.5;166.5;1.165.382.651;-8.382.844.647;-10.102.074;-32.268.667;Non Bawang Putih
92;pin_6853;101119;39.5;234.5;1.165.291.906;-8.389.144.847;-7.361.397;-0.09603243;Non Bawang Putih
94;pin_6670;101119;47.5;228.5;1.165.298.867;-8.388.592.043;-6.837.724;-11.892.279;Non Bawang Putih
98;pin_7214;101119;158.5;178.5;1.165.396.316;-8.383.868.437;-120.586.195;-0.3793446;Non Bawang Putih
99;pin_7008;101119;144.5;171.5;1.165.383.673;-8.383.285.079;-10.257.098;-28.051.941;Non Bawang Putih
100;pin_7796;101119;101.5;64.5;1.165.342.577;-8.373.916.677;-12.898.282;-9.274.659;Non Bawang Putih
101;pin_7056;101119;136.5;174.5;1.165.376.634;-8.383.572.026;-1.146.869;-11.305.219;Non Bawang Putih
103;pin_6775;101119;58.5;231.5;1.165.308.735;-8.388.828.873;-7.198.884;-17.879.379;Non Bawang Putih
104;pin_5696;101119;227.5;223.5;1.165.458.908;-8.387.673.842;-47.686.324;2.624.182;Non Bawang Putih
110;pin_8012;101119;130.5;32.5;1.165.367.536;-8.371.004.609;-16.520.355;-10.061.607;Non Bawang Putih
112;pin_5575;101119;204.5;222.5;1.165.438.415;-8.387.645.974;-10.990.885;-5.581.941;Non Bawang Putih
114;pin_6383;101119;135.5;125.5;1.165.374.446;-8.379.232.568;-14.650.209;-85.124.235;Non Bawang Putih
115;pin_5870;101119;207.5;195.5;1.165.440.369;-8.385.245.525;-13.735.311;-6.360.254;Non Bawang Putih
118;pin_4776;101119;1.941.860.246;4.394.447.604;1.165.424.507;-8.371.850.946;-14.796.569;-8.410.029;Non Bawang Putih
120;pin_7508;101119;69.5;182.5;1.165.317.225;-8.384.457.667;-76.413.507;-31.781.518;Non Bawang Putih
121;pin_5776;101119;223.5;228.5;1.165.455.481;-8.388.127.465;-8.666.246;-27.465.034;Non Bawang Putih
122;pin_7165;101119;144.5;178.5;1.165.383.858;-8.383.905.376;-14.889.098;1.652.001;Non Bawang Putih
123;pin_7727;101119;116.5;51.5;1.165.355.581;-8.372.725.166;-15.672.553;-9.596.316;Non Bawang Putih
124;pin_7748;101119;82.5;63.5;1.165.325.644;-837.387.811;-1.510.499;-8.734.697;Non Bawang Putih
125;pin_7535;101119;71.5;183.5;1.165.319.032;-8.384.541.009;-70.041.943;-3.162.252;Non Bawang Putih
128;pin_6263;101119;173.5;182.5;116.540.977;-8.384.183.307;-1.256.749;-63.858.595;Non Bawang Putih
133;pin_5134;101119;2.031.860.197;5.694.447.527;1.165.432.859;-8.372.979.187;-12.711.891;-9.293.056;Non Bawang Putih
134;pin_4420;101119;1.801.860.323;259.444.772;1.165.411.574;-8.370.292.807;-16.443.205;-9.202.874;Non Bawang Putih
137;pin_4465;101119;1.771.860.341;2.794.447.739;1.165.408.957;-8.370.477.937;-14.311.818;-10.244.777;Non Bawang Putih
140;pin_6761;101119;45.5;231.5;1.165.297.166;-8.388.863.169;-8.587.988;0.26090747;Non Bawang Putih
147;pin_6277;101119;166.5;184.5;1.165.403.594;-8.384.379.007;-12.313.851;-5.643.046;Non Bawang Putih
148;pin_7389;101119;73.5;177.5;1.165.320.652;-8.384.004.039;-50.702.114;0.09852;Non Bawang Putih
149;pin_5606;101119;219.5;219.5;1.165.451.683;-8.387.340.525;-8.425.678;-25.087.006;Non Bawang Putih
150;pin_6233;101119;221.5;241.5;1.165.454.046;-83.892.847;-11.208.338;-2.626.823;Non Bawang Putih
151;pin_8049;101119;118.5;79.5;1.165.358.101;-8.375.201.112;-15.760.097;-12.436.468;Non Bawang Putih
152;pin_5035;101119;1.861.860.296;529.444.765;1.165.417.627;-8.372.669.546;-15.673.895;-8.997.728;Non Bawang Putih
155;pin_8357;101119;124.5;104.5;1.165.364.102;-8.377.400.665;-15.555.836;-9.063.357;Non Bawang Putih
