,VH,VV,Class
0,-15.328173000000001,-10.290688000000001,Bawang Putih
1,-15.173157000000002,-7.9246793,Non Bawang Putih
2,-16.002329,-9.07425,Non Bawang Putih
3,-13.042019999999999,-8.113653,Bawang Putih
4,-16.602642000000003,-8.377229,Bawang Putih
5,-13.718354000000001,-4.511617,Non Bawang Putih
6,-13.210020000000002,-6.923265,Bawang Putih
7,-15.482289000000002,-9.094109,Non Bawang Putih
8,-11.456853,-8.323949,Bawang Putih
9,-10.987159,-0.36310938,Non Bawang Putih
10,-15.689248000000001,-8.76205,Bawang Putih
11,-13.865376000000001,-3.8878102,Non Bawang Putih
12,-12.864847,-8.346461999999999,Bawang Putih
13,-11.41125,-3.7938112999999998,Non Bawang Putih
14,-13.395454,-9.3039665,Bawang Putih
15,-14.993087,-8.552539999999999,Non Bawang Putih
16,-16.016413,-10.58512,Non Bawang Putih
17,-13.340879999999999,-6.2695823,Bawang Putih
18,-17.177828,-10.258886,Bawang Putih
19,-11.708911,-7.827089999999999,Bawang Putih
20,-16.065132000000002,-6.22735,Non Bawang Putih
21,-14.186001000000001,-6.5876149999999996,Bawang Putih
22,-7.6700506,-0.79235494,Non Bawang Putih
23,-16.46789,-9.1280775,Bawang Putih
24,-12.139949,-7.914252,Bawang Putih
25,-14.895309,-9.185419,Bawang Putih
26,-4.2524424000000005,2.8953123,Non Bawang Putih
27,-18.056128,-10.431051,Non Bawang Putih
28,-13.672177,-6.3265862,Non Bawang Putih
29,-15.857178,-9.977491,Non Bawang Putih
30,-14.74506,-6.6836615,Non Bawang Putih
31,-14.849559,-8.462750999999999,Non Bawang Putih
32,-5.1051626,0.4115608,Non Bawang Putih
33,-15.373973999999999,-9.176711,Bawang Putih
34,-10.799204,-10.375923,Bawang Putih
35,-14.527823000000001,-9.188336,Bawang Putih
36,-15.603855,-9.927284,Non Bawang Putih
37,-14.807301999999998,-8.669339,Bawang Putih
38,-6.837269999999999,0.02088472,Non Bawang Putih
39,-9.009381,-0.5818002,Non Bawang Putih
40,-15.5834675,-10.933663000000001,Non Bawang Putih
41,-8.436828,-1.7845868000000003,Non Bawang Putih
42,-12.054276,-6.385301,Bawang Putih
43,-14.367072,-8.218892,Bawang Putih
44,-16.63231,-8.066852,Non Bawang Putih
45,-9.267723,-0.18924762,Non Bawang Putih
46,-15.129362,-9.199086,Non Bawang Putih
47,-11.334153,-6.959991499999999,Bawang Putih
48,-14.589848499999999,-9.103253,Bawang Putih
49,-14.723197,-9.567682000000001,Bawang Putih
50,-12.56531,-0.5085628,Non Bawang Putih
51,-14.847710999999999,-7.461441000000001,Bawang Putih
52,-12.492473,-6.022964,Bawang Putih
53,-14.003714000000002,-6.844384,Bawang Putih
54,-14.9053955,-7.869602,Bawang Putih
55,-15.907271,-8.707324,Bawang Putih
56,-10.649569999999999,-7.718294599999999,Bawang Putih
57,-14.278789000000002,-8.900778,Non Bawang Putih
58,-16.87622,-10.1990595,Bawang Putih
59,-15.232807999999999,-10.462547,Non Bawang Putih
60,-15.424879999999998,-10.473472000000001,Non Bawang Putih
61,-14.324067000000001,-4.139275,Non Bawang Putih
62,-13.363156,-8.816125,Bawang Putih
63,-13.647319,-8.3338585,Bawang Putih
64,-15.930624,-7.8070070000000005,Bawang Putih
65,-7.146745699999999,1.1516253,Non Bawang Putih
66,-14.198479,-7.2267703999999995,Non Bawang Putih
67,-14.016182999999998,-5.986979,Bawang Putih
68,-15.5756035,-6.9719915,Bawang Putih
69,-15.338170999999999,-8.798504,Bawang Putih
70,-15.135107999999999,-6.587887299999999,Bawang Putih
71,-15.295162,-8.926274000000001,Non Bawang Putih
72,-18.034237,-8.326571000000001,Non Bawang Putih
73,-3.0853672000000003,3.2898845999999997,Non Bawang Putih
74,-13.65895,-9.695834,Bawang Putih
75,-13.469544,-10.432843,Bawang Putih
76,-8.902509,1.5294774,Non Bawang Putih
77,-12.359911,-6.101847,Bawang Putih
78,-13.122576,-9.109878,Non Bawang Putih
79,-13.721398,-7.561331,Non Bawang Putih
80,-15.166397,-10.288364999999999,Non Bawang Putih
81,-15.744334,-8.608127,Non Bawang Putih
