;Nama;Tanggal;X;Y;Lon;Lat;Sigma0_VH_db;Sigma0_VV_db;Class
0;pin_7256;221119;158,5;181,5;116,5396929;-8,384071337;-8,0318775;4,0729127;Non Bawang Putih
1;pin_2003;250719;99,4903629;104,4988019;116,5342483;-8,377428534;-16,969912;-6,497394;Bawang Putih
2;pin_4909;221119;195,5567266;49,63509944;116,542641;-8,372288657;-14,984341;-7,5305467;Non Bawang Putih
3;pin_534;250719;119,4903495;57,498801;116,5359036;-8,373210929;-13,02629;-8,971922;Bawang Putih
4;pin_1342;250719;113,4903528;49,4988015;116,5353485;-8,372517816;-12,979395;-9,032339;Bawang Putih
5;pin_4759;221119;176,5567488;44,6351022;116,5409372;-8,371895667;-17,27478;-10,40931;Non Bawang Putih
6;pin_3559;250719;245,5;92,5;116,5472087;-8,375980301;-18,077139;-10,517617;Bawang Putih
7;pin_393;250719;123,4903499;139,4987999;116,5364765;-8,380466787;-14,185844;-7,7729464;Bawang Putih
8;pin_5438;221119;289,8706466;39,19061707;116,5510053;-8,3711145;-15,562185;-10,008677;Non Bawang Putih
9;pin_7203;221119;155,5;178,5;116,539418;-8,383813413;-11,893711;0,47833788;Non Bawang Putih
10;pin_6065;221119;227,8706882;179,19062;116,5458595;-8,383683601;-10,246236;-3,1536486;Non Bawang Putih
11;pin_5783;221119;229,8706887;229,1906193;116,5461701;-8,388108894;-11,592901;-4,016304;Non Bawang Putih
12;pin_2404;250719;172,4903171;24,49879764;116,5405323;-8,370147035;-12,3008175;-5,5953135;Bawang Putih
13;pin_2079;250719;118,4903518;106,4988006;116,5359443;-8,377555687;-13,619358;-5,842008;Bawang Putih
14;pin_1488;250719;93,49036514;65,49880274;116,5336112;-8,373988344;-16,121515;-10,907018;Bawang Putih
15;pin_1132;250719;135,490342;115,4987993;116,5374808;-8,378308402;-13,199605;-7,868502;Bawang Putih
16;pin_6405;221119;141,5;4,5;116,5377116;-8,368431499;-0,9621126;4,6010685;Non Bawang Putih
17;pin_3816;250719;190,4600378;49,35105709;116,542197;-8,372301917;-15,82157;-9,230731;Bawang Putih
18;pin_738;250719;127,490345;64,49880037;116,536634;-8,373810154;-14,349654;-8,044858;Bawang Putih
19;pin_944;250719;113,4903542;92,49880107;116,5354623;-8,376328257;-17,145708;-9,312417;Bawang Putih
20;pin_3702;250719;188,4600388;45,35105727;116,5420085;-8,371952737;-14,820617;-9,000325;Bawang Putih
21;pin_7537;221119;71,5;184,5;116,5319591;-8,384566684;-5,847038;-1,7913966;Non Bawang Putih
22;pin_21;250719;128,4903465;124,4987997;116,5368817;-8,379124387;-12,383504;-9,071721;Bawang Putih
23;pin_4623;221119;175,5567493;34,63510254;116,5408217;-8,37101217;-15,8048935;-9,93966;Non Bawang Putih
24;pin_5702;221119;223,8706921;223,1906198;116,5456203;-8,387593073;-6,215728;-1,4285142;Non Bawang Putih
25;pin_1247;250719;127,4903444;45,49880057;116,5365837;-8,372126478;-15,492214;-9,298643;Bawang Putih
26;pin_1326;250719;124,4903463;48,49880075;116,5363247;-8,372400225;-10,302497;-10,201295;Bawang Putih
27;pin_2632;250719;186,4903091;32,49879657;116,5417992;-8,370819052;-10,879971;-7,989465;Bawang Putih
28;pin_4370;221119;203,5567168;44,63509842;116,5433396;-8,371824508;-12,912412;-9,033809;Non Bawang Putih
29;pin_5585;221119;213,870698;222,1906205;116,5447278;-8,387530872;-9,797175;-0,5458209;Non Bawang Putih
30;pin_3034;250719;228,5;110,5;116,5457437;-8,377620152;-12,60354;-6,5088167;Bawang Putih
31;pin_7337;221119;152,5;184,5;116,5391669;-8,38435301;-11,422705;3,6930995;Non Bawang Putih
32;pin_1892;250719;99,49036277;100,498802;116,5342377;-8,377074073;-15,099797;-8,556614;Bawang Putih
33;pin_2947;250719;243,5;80,5;116,546999;-8,374922242;-12,935108;-8,190221;Bawang Putih
34;pin_2916;250719;240,5;82,5;116,5467373;-8,375107377;-14,302381;-10,08784;Bawang Putih
35;pin_8358;221119;99,5;106,5;116,5342442;-8,377580849;-16,66776;-8,801006;Non Bawang Putih
36;pin_5348;221119;240,8706747;8,190620836;116,5465634;-8,36849675;-11,194356;-8,198069;Non Bawang Putih
37;pin_7260;221119;135,5;182,5;116,5376489;-8,384220638;-8,692524;4,1336894;Non Bawang Putih
