,VH,VV,VV-VH,Class
0,-15.328173,-10.290688,5.037485,Bawang Putih
1,-15.173157000000002,-7.9246793,7.248477700000001,Non Bawang Putih
2,-16.002329,-9.07425,6.928079,Non Bawang Putih
3,-13.04202,-8.113653,4.9283670000000015,Bawang Putih
4,-16.602642000000003,-8.377229,8.225413000000003,Bawang Putih
5,-13.718354,-4.511617,9.206737,Non Bawang Putih
6,-13.210020000000002,-6.923265,6.286755000000002,Bawang Putih
7,-15.482289000000002,-9.094109,6.388180000000002,Non Bawang Putih
8,-11.456853,-8.323949,3.132904,Bawang Putih
9,-10.987159,-0.36310938,10.624049620000001,Non Bawang Putih
10,-15.689248,-8.76205,6.927197999999999,Bawang Putih
11,-13.865376,-3.8878102,9.977565799999999,Non Bawang Putih
12,-12.864847,-8.346461999999999,4.518385,Bawang Putih
13,-11.41125,-3.7938113,7.617438700000001,Non Bawang Putih
14,-13.395454,-9.3039665,4.091487500000001,Bawang Putih
15,-14.993087,-8.552539999999999,6.4405470000000005,Non Bawang Putih
16,-16.016413,-10.58512,5.431293,Non Bawang Putih
17,-13.34088,-6.2695823,7.071297700000001,Bawang Putih
18,-17.177828,-10.258886,6.918942000000001,Bawang Putih
19,-11.708911,-7.827089999999999,3.8818210000000013,Bawang Putih
20,-16.065132000000002,-6.22735,9.837782,Non Bawang Putih
21,-14.186001,-6.587615,7.598385999999999,Bawang Putih
22,-7.6700506,-0.79235494,6.87769566,Non Bawang Putih
23,-16.46789,-9.1280775,7.339812500000001,Bawang Putih
24,-12.139949,-7.914252,4.225696999999999,Bawang Putih
25,-14.895309,-9.185419,5.70989,Bawang Putih
26,-4.2524424000000005,2.8953123,7.1477547,Non Bawang Putih
27,-18.056128,-10.431051,7.625077000000001,Non Bawang Putih
28,-13.672177,-6.3265862,7.345590799999999,Non Bawang Putih
29,-15.857178,-9.977491,5.879686999999999,Non Bawang Putih
30,-14.74506,-6.6836615,8.0613985,Non Bawang Putih
31,-14.849559,-8.462750999999999,6.386808,Non Bawang Putih
32,-5.1051626,0.4115608,5.5167234,Non Bawang Putih
33,-15.373974,-9.176711,6.197263000000001,Bawang Putih
34,-10.799204,-10.375923,0.42328099999999935,Bawang Putih
35,-14.527823,-9.188336,5.339487,Bawang Putih
36,-15.603855,-9.927284,5.676570999999999,Non Bawang Putih
37,-14.807301999999998,-8.669339,6.137962999999997,Bawang Putih
38,-6.837269999999998,0.02088472,6.858154719999998,Non Bawang Putih
39,-9.009381,-0.5818002,8.4275808,Non Bawang Putih
40,-15.5834675,-10.933663,4.6498045,Non Bawang Putih
41,-8.436828,-1.7845868000000005,6.6522412,Non Bawang Putih
42,-12.054276,-6.385301,5.668975,Bawang Putih
43,-14.367072,-8.218892,6.14818,Bawang Putih
44,-16.63231,-8.066852,8.565458,Non Bawang Putih
45,-9.267723,-0.18924762,9.07847538,Non Bawang Putih
46,-15.129362,-9.199086,5.930276000000001,Non Bawang Putih
47,-11.334153,-6.959991499999999,4.374161500000001,Bawang Putih
48,-14.5898485,-9.103253,5.4865955,Bawang Putih
49,-14.723197,-9.567682,5.155515000000001,Bawang Putih
50,-12.56531,-0.5085628,12.0567472,Non Bawang Putih
51,-14.847711,-7.4614410000000015,7.386269999999999,Bawang Putih
52,-12.492473,-6.022964,6.469509,Bawang Putih
53,-14.003714000000002,-6.844384,7.159330000000002,Bawang Putih
