,VH,VV,Class
0,-8.0318775,4.0729127,Non Bawang Putih
1,-16.969912,-6.497394,Bawang Putih
2,-14.984341,-7.5305467,Non Bawang Putih
3,-13.02629,-8.971922,Bawang Putih
4,-12.979395,-9.032339,Bawang Putih
5,-17.27478,-10.40931,Non Bawang Putih
6,-18.077139000000006,-10.517617,Bawang Putih
7,-14.185844,-7.7729464,Bawang Putih
8,-15.562185,-10.008677,Non Bawang Putih
9,-11.893711,0.47833788,Non Bawang Putih
10,-10.246236,-3.1536486,Non Bawang Putih
11,-11.592901,-4.016304,Non Bawang Putih
12,-12.3008175,-5.5953135000000005,Bawang Putih
13,-13.619357999999998,-5.842008,Bawang Putih
14,-16.121515,-10.907018,Bawang Putih
15,-13.199604999999998,-7.868502,Bawang Putih
16,-0.9621126,4.6010684999999985,Non Bawang Putih
17,-15.82157,-9.230731,Bawang Putih
18,-14.349654,-8.044858,Bawang Putih
19,-17.145708,-9.312417,Bawang Putih
20,-14.820617000000002,-9.000325,Bawang Putih
21,-5.847038,-1.7913966,Non Bawang Putih
22,-12.383504,-9.071721,Bawang Putih
23,-15.8048935,-9.93966,Non Bawang Putih
24,-6.215728,-1.4285142,Non Bawang Putih
25,-15.492214,-9.298642999999998,Bawang Putih
26,-10.302497,-10.201295,Bawang Putih
27,-10.879971,-7.989464999999999,Bawang Putih
28,-12.912412,-9.033809,Non Bawang Putih
29,-9.797175,-0.5458208999999999,Non Bawang Putih
30,-12.60354,-6.5088167000000015,Bawang Putih
31,-11.422705,3.6930995,Non Bawang Putih
32,-15.099797,-8.556614,Bawang Putih
33,-12.935108,-8.190221000000001,Bawang Putih
34,-14.302381,-10.08784,Bawang Putih
35,-16.66776,-8.801006,Non Bawang Putih
36,-11.194356,-8.198069,Non Bawang Putih
37,-8.692524,4.1336894,Non Bawang Putih
38,-7.045009599999998,-3.126985,Non Bawang Putih
39,-14.955809,-9.090634,Bawang Putih
40,-14.202456,-7.5296617,Bawang Putih
41,-12.162698,-7.009614999999998,Bawang Putih
42,-15.765268,-8.859349,Non Bawang Putih
43,-15.298276,-10.594096,Non Bawang Putih
44,-5.5543666,1.3892716,Non Bawang Putih
45,-14.444142,-10.902162,Bawang Putih
46,-14.832669,-9.41115,Bawang Putih
47,-11.262417,-3.1066856,Non Bawang Putih
48,-13.515164000000002,-7.662202400000001,Bawang Putih
49,-11.923818,-9.109605,Bawang Putih
50,-6.141236,0.86786497,Non Bawang Putih
51,-8.594058,2.094926,Non Bawang Putih
52,-12.326486,-4.381142,Non Bawang Putih
53,-12.976337,-8.738283000000001,Bawang Putih
54,-8.863304,-0.9091031,Non Bawang Putih
55,-15.408485,-7.543642,Bawang Putih
56,-11.52435,-3.9155066,Non Bawang Putih
57,-16.17695,-7.8244686,Bawang Putih
58,-13.899634,-6.6489115000000005,Bawang Putih
59,-17.658708999999995,-7.37755,Non Bawang Putih
60,-12.955357,-7.777703,Bawang Putih
61,-15.424406,-9.695599,Non Bawang Putih
62,-12.665453,-2.9956944,Non Bawang Putih
63,-12.984845,-8.880938,Bawang Putih
64,-15.9738655,-10.122522,Bawang Putih
65,-15.583714,-9.162121,Non Bawang Putih
66,-12.456729,-3.6373389,Non Bawang Putih
67,-11.038852,-0.8059566,Non Bawang Putih
